ID,n_adults,n_children,weekend_nights,week_nights,meal_plan,car_parking_space,room_type,previous_cancellations,previous_bookings_not_canceled,avg_room_price,special_requests,status
47,2,0,0,1,Meal Plan 2,0,Room_Type 1,0,0,104,0,Not_Canceled
48,2,0,0,4,Not Selected,0,Room_Type 1,0,0,79.2,1,Not_Canceled
49,1,0,1,3,Meal Plan 1,0,Room_Type 4,0,0,125.8,2,Not_Canceled
50,1,0,2,5,Not Selected,0,Room_Type 1,0,0,87.95,0,Not_Canceled
51,2,0,2,2,Meal Plan 2,0,Room_Type 1,0,0,106,0,Canceled
52,1,0,1,2,Meal Plan 1,0,Room_Type 1,0,0,136.67,1,Not_Canceled
53,2,0,0,4,Meal Plan 1,0,Room_Type 4,0,0,60,1,Not_Canceled
54,2,0,1,0,Not Selected,0,Room_Type 1,0,0,89,2,Not_Canceled
55,2,0,1,3,Meal Plan 1,0,Room_Type 1,0,0,136,1,Not_Canceled
56,2,0,0,1,Not Selected,0,Room_Type 1,0,0,94.5,1,Not_Canceled
57,2,0,1,2,Meal Plan 1,0,Room_Type 1,0,0,93.6,2,Not_Canceled
58,2,0,1,4,Meal Plan 1,0,Room_Type 4,0,0,120.6,0,Canceled
59,2,0,0,3,Meal Plan 1,0,Room_Type 4,0,0,99.3,1,Not_Canceled
60,2,2,0,1,Meal Plan 1,1,Room_Type 6,0,0,258,1,Not_Canceled
61,1,0,0,3,Meal Plan 1,0,Room_Type 4,0,0,120.12,2,Not_Canceled
62,1,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,95,0,Not_Canceled
63,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,0,0,1,Not_Canceled
64,2,0,2,1,Meal Plan 1,0,Room_Type 1,0,0,75,0,Not_Canceled
65,2,0,0,3,Meal Plan 1,0,Room_Type 4,0,0,157.5,2,Not_Canceled
66,2,0,0,2,Meal Plan 1,0,Room_Type 4,0,0,97.7,1,Not_Canceled
67,2,0,0,2,Meal Plan 1,0,Room_Type 4,0,0,142,0,Canceled
68,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,0,80,0,Not_Canceled
69,2,0,1,2,Meal Plan 1,0,Room_Type 1,0,0,85.5,1,Not_Canceled
70,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,0,100,0,Not_Canceled
71,2,0,1,0,Not Selected,0,Room_Type 1,0,0,88,2,Not_Canceled
72,2,0,1,1,Meal Plan 1,1,Room_Type 1,0,0,122.85,1,Not_Canceled
73,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,100,0,Canceled
74,2,0,2,3,Meal Plan 1,0,Room_Type 4,0,0,75,0,Not_Canceled
75,2,0,1,4,Meal Plan 1,0,Room_Type 4,0,0,116.8,1,Not_Canceled
76,3,0,1,1,Meal Plan 1,0,Room_Type 4,0,0,121.5,0,Not_Canceled
77,2,0,1,2,Meal Plan 1,0,Room_Type 1,0,0,111.9,1,Not_Canceled
78,3,0,2,5,Meal Plan 1,0,Room_Type 4,0,0,121.55,2,Canceled
79,2,0,0,5,Meal Plan 1,0,Room_Type 1,0,0,75,1,Not_Canceled
80,2,2,0,2,Meal Plan 1,0,Room_Type 6,0,0,159.3,0,Canceled
81,2,0,0,5,Meal Plan 1,0,Room_Type 4,0,0,132.3,0,Canceled
82,2,0,2,0,Not Selected,0,Room_Type 1,0,0,88,2,Not_Canceled
83,2,0,1,4,Meal Plan 1,0,Room_Type 4,0,0,98.82,0,Not_Canceled
84,2,0,1,2,Meal Plan 1,1,Room_Type 4,0,0,98.3,1,Not_Canceled
85,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,0,150,2,Not_Canceled
86,2,0,2,3,Not Selected,0,Room_Type 1,0,0,96.05,1,Not_Canceled
87,1,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,130,0,Canceled
88,2,0,0,1,Not Selected,0,Room_Type 1,0,5,95,0,Not_Canceled
89,2,0,0,3,Meal Plan 1,0,Room_Type 5,0,0,113.56,0,Not_Canceled
90,2,0,1,3,Not Selected,0,Room_Type 1,0,0,101.58,1,Not_Canceled
91,2,0,1,2,Meal Plan 1,1,Room_Type 1,0,0,105.3,0,Not_Canceled
92,2,0,2,1,Meal Plan 1,0,Room_Type 4,0,0,115.8,1,Not_Canceled
93,2,0,0,1,Meal Plan 1,0,Room_Type 4,0,0,149.4,1,Not_Canceled
94,2,0,2,5,Meal Plan 1,0,Room_Type 1,0,0,111.59,0,Canceled
95,2,1,0,2,Meal Plan 1,1,Room_Type 1,0,0,130.5,2,Not_Canceled
96,2,0,0,2,Meal Plan 2,0,Room_Type 1,0,0,115,1,Canceled
97,2,0,0,4,Meal Plan 1,0,Room_Type 1,0,0,90.95,1,Not_Canceled
98,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,0,76.08,1,Not_Canceled
99,2,2,1,3,Meal Plan 1,0,Room_Type 6,0,0,156.9,0,Not_Canceled
100,2,0,1,0,Not Selected,0,Room_Type 1,0,0,85.5,2,Not_Canceled
101,3,0,1,2,Meal Plan 1,0,Room_Type 4,0,0,159.3,2,Not_Canceled
102,1,0,0,4,Meal Plan 1,0,Room_Type 1,0,0,74.8,2,Not_Canceled
103,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,0,95,1,Not_Canceled
104,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,0,107,1,Not_Canceled
105,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,0,64,0,Not_Canceled
106,2,0,1,4,Meal Plan 1,1,Room_Type 1,0,0,82.95,0,Not_Canceled
107,2,0,1,3,Meal Plan 1,0,Room_Type 4,0,0,155,1,Not_Canceled
108,2,0,0,1,Not Selected,0,Room_Type 1,0,0,101.68,1,Not_Canceled
109,2,0,2,1,Meal Plan 1,0,Room_Type 1,0,0,94.5,3,Not_Canceled
110,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,117.9,2,Canceled
111,2,0,1,0,Not Selected,0,Room_Type 1,0,0,127,1,Not_Canceled
112,2,0,0,3,Not Selected,0,Room_Type 1,0,0,116.1,2,Not_Canceled
113,2,0,2,3,Meal Plan 1,0,Room_Type 1,0,0,117.9,1,Not_Canceled
114,2,2,2,2,Meal Plan 1,0,Room_Type 2,0,0,184.24,1,Canceled
115,3,0,2,2,Meal Plan 1,1,Room_Type 4,0,0,155.7,1,Not_Canceled
116,3,0,2,5,Meal Plan 1,0,Room_Type 4,0,0,135.76,0,Canceled
117,2,1,2,5,Meal Plan 1,0,Room_Type 1,0,0,102.83,3,Not_Canceled
118,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,0,65,0,Canceled
119,2,0,2,3,Meal Plan 1,0,Room_Type 1,0,0,103,1,Not_Canceled
120,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,0,106.2,1,Canceled
121,2,0,0,2,Meal Plan 2,0,Room_Type 1,0,0,58.5,0,Not_Canceled
122,2,0,1,3,Meal Plan 1,0,Room_Type 1,0,0,73.95,0,Canceled
123,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,0,105.3,0,Not_Canceled
124,3,0,2,0,Meal Plan 1,0,Room_Type 4,0,0,133.2,2,Not_Canceled
125,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,85.5,0,Not_Canceled
126,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,0,112,1,Canceled
127,2,2,0,2,Meal Plan 1,0,Room_Type 6,0,0,190.8,0,Canceled
128,1,0,2,3,Meal Plan 1,0,Room_Type 1,0,0,110,0,Not_Canceled
129,2,0,1,4,Meal Plan 1,0,Room_Type 4,0,0,91.48,1,Not_Canceled
130,2,0,0,2,Not Selected,0,Room_Type 1,0,0,135,2,Not_Canceled
131,1,0,1,2,Meal Plan 1,0,Room_Type 1,0,0,129,2,Not_Canceled
132,2,0,2,4,Not Selected,0,Room_Type 1,0,0,70.55,2,Canceled
133,2,0,1,4,Meal Plan 1,0,Room_Type 4,0,0,75,0,Not_Canceled
134,1,0,0,4,Not Selected,0,Room_Type 1,0,0,72.25,0,Not_Canceled
135,2,0,0,1,Meal Plan 1,0,Room_Type 4,0,0,155,2,Not_Canceled
136,2,1,1,0,Meal Plan 1,0,Room_Type 1,0,0,121.5,2,Canceled
137,2,0,2,5,Meal Plan 1,0,Room_Type 1,0,0,90.95,2,Not_Canceled
138,1,0,2,2,Meal Plan 1,0,Room_Type 1,0,0,109.65,0,Not_Canceled
139,3,0,2,4,Meal Plan 1,0,Room_Type 4,0,0,142.72,0,Canceled
140,1,0,1,2,Meal Plan 1,0,Room_Type 1,0,0,90,0,Not_Canceled
141,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,75,0,Canceled
142,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,111,1,Canceled
143,2,0,2,2,Meal Plan 1,0,Room_Type 1,0,0,86.7,2,Not_Canceled
144,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,0,117.9,1,Not_Canceled
145,1,0,0,2,Meal Plan 1,0,Room_Type 1,3,5,0,1,Not_Canceled
146,2,0,0,4,Not Selected,0,Room_Type 1,0,0,101.58,1,Not_Canceled
147,2,0,1,2,Not Selected,0,Room_Type 1,0,0,58.9,1,Not_Canceled
148,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,0,120,0,Not_Canceled
149,2,0,2,3,Meal Plan 1,0,Room_Type 4,0,0,107.1,0,Canceled
150,2,0,1,1,Meal Plan 1,0,Room_Type 1,0,0,126.9,1,Not_Canceled
151,2,0,0,3,Meal Plan 1,0,Room_Type 4,0,0,139.5,2,Canceled
152,2,0,1,3,Not Selected,0,Room_Type 1,0,0,80.75,1,Not_Canceled
153,2,0,0,2,Meal Plan 2,0,Room_Type 1,0,0,109,0,Canceled
154,2,0,0,1,Meal Plan 2,0,Room_Type 1,0,0,104,0,Not_Canceled
155,1,0,0,3,Meal Plan 1,0,Room_Type 1,1,5,65,1,Not_Canceled
156,2,0,0,3,Meal Plan 1,0,Room_Type 4,0,0,140.4,0,Not_Canceled
157,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,0,75,0,Not_Canceled
158,2,0,0,1,Not Selected,0,Room_Type 1,0,0,94.5,0,Canceled
159,2,0,1,0,Not Selected,0,Room_Type 1,0,0,109,0,Not_Canceled
160,2,0,2,2,Meal Plan 1,0,Room_Type 1,0,0,105,2,Not_Canceled
161,2,0,2,2,Meal Plan 1,0,Room_Type 4,0,0,107.95,1,Not_Canceled
162,3,0,2,2,Meal Plan 1,0,Room_Type 7,0,0,215.6,1,Not_Canceled
163,2,0,1,1,Not Selected,0,Room_Type 1,0,0,85.5,1,Not_Canceled
164,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,105.3,2,Not_Canceled
165,1,0,2,1,Meal Plan 2,0,Room_Type 1,0,0,1,0,Not_Canceled
166,2,0,0,2,Meal Plan 1,0,Room_Type 4,0,0,156,0,Canceled
167,1,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,73.15,1,Not_Canceled
168,2,0,1,2,Meal Plan 1,0,Room_Type 1,0,0,110,0,Canceled
169,2,1,1,0,Not Selected,0,Room_Type 1,0,0,87.4,1,Not_Canceled
170,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,120,0,Canceled
171,2,0,1,2,Not Selected,0,Room_Type 1,0,0,79.2,0,Canceled
172,2,0,1,3,Meal Plan 1,0,Room_Type 1,0,0,90.95,1,Not_Canceled
173,2,0,0,4,Meal Plan 1,0,Room_Type 1,0,0,91.48,1,Not_Canceled
174,2,1,0,1,Meal Plan 1,0,Room_Type 1,0,0,150,1,Canceled
175,2,0,0,1,Not Selected,0,Room_Type 1,0,0,89,0,Not_Canceled
176,2,0,1,4,Not Selected,0,Room_Type 1,0,0,91.43,1,Not_Canceled
177,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,140,0,Not_Canceled
178,1,1,2,5,Not Selected,0,Room_Type 1,0,0,87.78,0,Not_Canceled
179,2,0,0,2,Meal Plan 2,0,Room_Type 1,0,0,115,0,Canceled
180,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,0,80.85,1,Not_Canceled
181,2,0,1,3,Meal Plan 1,0,Room_Type 1,0,0,82.45,1,Not_Canceled
182,2,0,0,1,Not Selected,0,Room_Type 1,0,0,108,0,Canceled
183,2,0,1,1,Meal Plan 1,0,Room_Type 4,0,0,96.3,1,Not_Canceled
184,2,0,1,5,Meal Plan 1,0,Room_Type 1,0,0,99.45,0,Canceled
185,2,0,0,2,Meal Plan 1,0,Room_Type 4,0,0,140.4,1,Not_Canceled
186,2,0,1,3,Meal Plan 1,0,Room_Type 1,0,0,72.25,0,Not_Canceled
187,2,0,1,4,Meal Plan 1,0,Room_Type 4,0,0,126,0,Not_Canceled
188,2,0,2,3,Meal Plan 1,0,Room_Type 1,0,0,78,0,Canceled
189,1,0,2,2,Meal Plan 1,0,Room_Type 4,0,0,146.6,1,Not_Canceled
190,2,0,1,2,Meal Plan 1,0,Room_Type 1,0,0,118.8,0,Canceled
191,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,0,145,0,Canceled
192,2,0,0,4,Meal Plan 1,0,Room_Type 1,0,0,84.58,0,Canceled
193,2,0,1,2,Meal Plan 2,0,Room_Type 1,0,0,130,0,Canceled
194,2,0,4,10,Meal Plan 1,0,Room_Type 4,0,0,118.88,1,Canceled
195,2,0,1,2,Meal Plan 1,0,Room_Type 1,0,0,101.52,0,Not_Canceled
196,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,0,100,0,Canceled
197,2,0,2,1,Meal Plan 1,0,Room_Type 1,0,0,58,0,Not_Canceled
198,2,0,0,4,Meal Plan 1,0,Room_Type 1,0,0,61.5,2,Not_Canceled
199,2,0,1,2,Meal Plan 2,0,Room_Type 1,0,0,107,0,Canceled
200,2,0,1,4,Not Selected,0,Room_Type 1,0,0,87.3,1,Not_Canceled
201,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,76.5,1,Canceled
202,2,0,2,2,Not Selected,0,Room_Type 1,0,0,63.75,0,Canceled
203,2,0,1,2,Meal Plan 1,0,Room_Type 1,0,0,95,0,Canceled
204,2,0,2,1,Meal Plan 1,0,Room_Type 1,0,0,75,1,Not_Canceled
205,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,0,70,0,Canceled
206,2,0,1,3,Meal Plan 1,0,Room_Type 1,0,0,101.58,1,Not_Canceled
207,2,0,2,3,Meal Plan 1,0,Room_Type 1,0,0,85,0,Not_Canceled
208,2,0,2,4,Meal Plan 1,0,Room_Type 1,0,0,98.39,0,Not_Canceled
209,1,0,0,0,Meal Plan 1,0,Room_Type 1,0,0,0,1,Not_Canceled
210,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,0,106.07,1,Not_Canceled
211,2,0,1,1,Meal Plan 1,0,Room_Type 1,0,0,105,1,Not_Canceled
212,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,0,145,2,Not_Canceled
213,3,0,2,1,Meal Plan 1,0,Room_Type 1,0,0,106.03,1,Canceled
214,2,0,2,2,Meal Plan 1,0,Room_Type 1,0,0,114.3,1,Not_Canceled
215,1,0,1,1,Not Selected,0,Room_Type 1,0,0,88,0,Not_Canceled
216,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,89.25,2,Not_Canceled
217,2,1,2,5,Meal Plan 1,0,Room_Type 4,0,0,86.32,1,Not_Canceled
218,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,0,90,1,Not_Canceled
219,2,0,2,5,Meal Plan 1,0,Room_Type 1,0,0,55.96,0,Not_Canceled
220,1,0,0,2,Not Selected,0,Room_Type 1,0,0,109,1,Not_Canceled
221,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,0,86,0,Not_Canceled
222,2,0,1,5,Meal Plan 1,0,Room_Type 1,0,0,118.95,0,Not_Canceled
223,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,130,1,Not_Canceled
224,2,0,1,3,Not Selected,0,Room_Type 1,0,0,90.56,1,Not_Canceled
225,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,87.3,1,Not_Canceled
226,2,2,2,2,Meal Plan 1,0,Room_Type 6,0,0,177.65,1,Canceled
227,1,2,2,2,Meal Plan 1,0,Room_Type 6,0,0,200.75,2,Not_Canceled
228,2,1,0,2,Meal Plan 1,0,Room_Type 1,0,0,127,1,Not_Canceled
229,1,0,1,2,Meal Plan 1,0,Room_Type 1,0,0,72.9,0,Canceled
230,3,0,1,1,Meal Plan 1,0,Room_Type 4,0,0,159.3,0,Canceled
231,2,1,1,3,Meal Plan 1,0,Room_Type 1,0,0,135.15,1,Not_Canceled
232,1,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,90,0,Not_Canceled
233,2,0,1,0,Not Selected,0,Room_Type 1,0,0,114,0,Not_Canceled
234,2,1,0,1,Meal Plan 1,1,Room_Type 1,0,0,125.1,1,Not_Canceled
235,2,0,2,6,Not Selected,0,Room_Type 1,0,0,95.13,1,Not_Canceled
236,2,0,0,2,Meal Plan 1,0,Room_Type 5,0,0,105.84,0,Canceled
237,2,0,1,3,Meal Plan 1,0,Room_Type 1,0,0,102,0,Canceled
238,2,0,2,2,Not Selected,0,Room_Type 1,0,0,74.8,2,Not_Canceled
239,2,0,1,0,Not Selected,0,Room_Type 1,0,0,94.5,0,Canceled
240,2,0,2,4,Not Selected,0,Room_Type 1,0,0,120.6,0,Not_Canceled
241,2,0,1,2,Meal Plan 1,0,Room_Type 1,0,0,139.33,0,Not_Canceled
242,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,105,0,Not_Canceled
243,2,0,0,2,Not Selected,0,Room_Type 1,0,0,100,1,Not_Canceled
244,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,0,80.3,1,Not_Canceled
245,1,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,100,0,Not_Canceled
246,2,0,0,3,Meal Plan 1,1,Room_Type 1,0,0,105.3,1,Not_Canceled
247,2,0,0,4,Meal Plan 1,0,Room_Type 4,0,0,112.8,0,Canceled
248,2,0,1,2,Meal Plan 1,0,Room_Type 1,0,0,151,0,Canceled
249,1,0,1,3,Meal Plan 1,0,Room_Type 1,0,0,91,1,Not_Canceled
250,3,0,2,1,Meal Plan 1,0,Room_Type 4,0,0,146.7,1,Canceled
251,2,0,2,3,Meal Plan 1,0,Room_Type 1,0,0,58.4,0,Not_Canceled
252,2,0,0,4,Not Selected,0,Room_Type 1,0,0,80.75,1,Canceled
253,2,0,1,1,Not Selected,0,Room_Type 1,0,0,76.5,0,Not_Canceled
254,3,0,0,3,Meal Plan 1,0,Room_Type 4,0,0,140.13,0,Not_Canceled
255,2,0,2,4,Not Selected,0,Room_Type 1,0,0,76,1,Not_Canceled
256,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,0,200,0,Not_Canceled
257,2,0,0,2,Meal Plan 2,0,Room_Type 1,0,0,101.5,0,Canceled
258,2,0,0,3,Not Selected,0,Room_Type 1,0,0,108,1,Not_Canceled
259,3,0,2,3,Meal Plan 2,0,Room_Type 4,0,0,189,1,Not_Canceled
260,3,0,1,1,Meal Plan 1,0,Room_Type 4,0,0,166,3,Not_Canceled
261,2,0,1,1,Not Selected,0,Room_Type 1,0,0,67.5,0,Not_Canceled
262,2,0,1,3,Meal Plan 1,0,Room_Type 4,0,0,78.54,1,Not_Canceled
263,1,0,2,2,Meal Plan 1,0,Room_Type 1,0,0,152.1,1,Canceled
264,1,0,2,1,Meal Plan 1,0,Room_Type 1,0,0,115,0,Canceled
265,2,0,2,5,Not Selected,0,Room_Type 1,0,0,66.53,2,Not_Canceled
266,1,0,0,2,Meal Plan 1,0,Room_Type 1,0,1,0,1,Not_Canceled
267,1,0,2,1,Meal Plan 1,0,Room_Type 1,0,0,0,1,Not_Canceled
268,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,0,90.3,2,Canceled
269,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,85,0,Not_Canceled
270,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,0,75,0,Not_Canceled
271,2,0,2,4,Meal Plan 1,0,Room_Type 1,0,0,115.37,1,Canceled
272,2,0,1,2,Meal Plan 2,0,Room_Type 1,0,0,130,0,Canceled
273,3,0,0,2,Meal Plan 1,0,Room_Type 4,0,0,126,2,Not_Canceled
274,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,0,94.35,1,Not_Canceled
275,3,0,2,4,Meal Plan 1,0,Room_Type 4,0,0,118.46,4,Not_Canceled
276,1,0,0,2,Meal Plan 2,0,Room_Type 1,0,0,90.6,0,Canceled
277,1,0,2,1,Meal Plan 1,0,Room_Type 1,0,0,82.9,2,Not_Canceled
278,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,0,95.33,1,Not_Canceled
279,3,0,2,5,Meal Plan 1,0,Room_Type 4,0,0,135.64,1,Not_Canceled
280,3,0,1,1,Meal Plan 1,0,Room_Type 4,0,0,122.4,0,Not_Canceled
281,2,0,1,3,Not Selected,0,Room_Type 1,0,0,116.1,0,Canceled
282,2,0,0,4,Not Selected,0,Room_Type 1,0,0,62.18,0,Canceled
283,2,0,0,4,Not Selected,0,Room_Type 1,0,0,63.75,0,Canceled
284,1,0,1,4,Meal Plan 1,0,Room_Type 1,0,0,118.8,0,Canceled
285,2,0,0,2,Not Selected,1,Room_Type 1,0,0,167,0,Not_Canceled
286,2,2,2,2,Meal Plan 1,0,Room_Type 6,0,0,187.85,1,Not_Canceled
287,0,2,2,2,Meal Plan 1,0,Room_Type 1,0,0,108.38,1,Canceled
288,2,0,0,1,Meal Plan 1,0,Room_Type 2,0,3,0,1,Not_Canceled
289,3,0,1,2,Meal Plan 1,0,Room_Type 1,0,0,128.7,0,Canceled
290,2,0,1,3,Meal Plan 1,0,Room_Type 1,0,0,80.33,1,Not_Canceled
291,2,0,1,1,Meal Plan 1,0,Room_Type 1,0,0,140,1,Canceled
292,2,1,1,1,Meal Plan 1,0,Room_Type 1,0,0,76.5,2,Not_Canceled
293,2,0,2,1,Meal Plan 1,0,Room_Type 1,0,0,105.3,1,Not_Canceled
294,2,0,2,1,Meal Plan 1,0,Room_Type 1,0,0,87.3,1,Canceled
295,1,0,0,3,Meal Plan 1,0,Room_Type 1,0,0,110,0,Canceled
296,1,0,0,1,Meal Plan 2,0,Room_Type 1,0,0,83,0,Not_Canceled
297,2,0,2,2,Meal Plan 1,0,Room_Type 1,0,0,99.45,1,Not_Canceled
298,2,1,2,1,Meal Plan 2,0,Room_Type 1,0,0,104.5,3,Not_Canceled
299,2,0,2,6,Meal Plan 1,0,Room_Type 1,0,0,92.54,2,Not_Canceled
300,1,0,0,3,Meal Plan 1,0,Room_Type 1,0,0,95,0,Not_Canceled
301,1,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,130,0,Canceled
302,2,0,2,1,Meal Plan 1,0,Room_Type 1,1,0,63,1,Not_Canceled
303,2,0,1,2,Meal Plan 1,0,Room_Type 4,0,0,109.8,0,Canceled
304,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,0,103,0,Not_Canceled
305,3,0,2,1,Meal Plan 1,0,Room_Type 4,0,0,130,1,Not_Canceled
306,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,117,0,Canceled
307,2,0,0,4,Meal Plan 1,0,Room_Type 4,0,0,60.5,0,Not_Canceled
308,2,0,0,1,Meal Plan 2,0,Room_Type 1,0,0,112.2,0,Not_Canceled
